MasterFile,KABCO_Mod,Mode,Disadvantaged Com ID,MannerofCollision_Real,CollisionDate,CollisionTime,ParkingLotIndicator,IntersectionWith_Indicator_,Milepoint,NumberInjured,NumberKilled,ofUnits,ofMotorVeh,Hit&RunIndicator,OneWayIndicator,InCityLimitsIndicator,Latitude,Longitude,MannerofCollisionCode,TotalLanes,RoadwayCharacterCode,RoadwaySurfaceCode,RoadwayConditionCode,WeatherCode,LightConditionCode,FirstAidSceneIndicator,TimeNotified,TimeArrived,MedianCros,YR,KABCO,Motorcyclist,CommercialVehicle,YoungDriver,MatureDriver,Pedestrian,Bicyclist,Distracted,agressive,Impaired,Unrestrain,RoadwayDep,MedXover
72398542,O,Motor Vehicle,DAC,,20190826,1558.0,N,N,0.034,0,0,2,2.0,N,N,Y,37.62813,-84.76731,6.0,2.0,6.0,1.0,5.0,6.0,2.0,N,1558,1609,N,2019.0,O,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0
72398552,O,Motor Vehicle,Non DAC,,20190826,1442.0,N,Y,1.69,0,0,2,2.0,N,N,Y,37.62749,-84.7969,5.0,4.0,6.0,1.0,5.0,6.0,2.0,N,1443,1444,N,2019.0,O,0,0,1,0,0,0,1,0,0,0.0,0.0,0.0
72398946,O,Motor Vehicle,DAC,,20190826,1055.0,N,Y,4.672,0,0,2,2.0,N,N,Y,37.63508,-84.77502,8.0,2.0,4.0,1.0,5.0,6.0,2.0,N,1055,1059,N,2019.0,O,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0
72399169,O,Motor Vehicle,DAC,,20190826,1340.0,N,Y,0.048,0,0,2,2.0,N,N,Y,37.61805,-84.77761,1.0,2.0,6.0,1.0,5.0,6.0,2.0,N,1340,1348,N,2019.0,O,0,0,0,1,0,0,1,1,0,0.0,0.0,0.0
72399531,O,Motor Vehicle,DAC,,20190828,1008.0,N,Y,5.166,0,0,2,2.0,N,Y,Y,37.64252,-84.77435,8.0,2.0,6.0,1.0,1.0,2.0,2.0,N,1009,1010,N,2019.0,O,0,0,0,1,0,0,1,1,0,0.0,0.0,0.0
72399590,A,Motor Vehicle,Non DAC,,20190827,1307.0,N,Y,3.746,4,0,2,2.0,N,N,Y,37.6555,-84.79927,1.0,4.0,6.0,1.0,1.0,2.0,2.0,Y,1307,1312,N,2019.0,A,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0
72400073,O,Motor Vehicle,DAC,,20190829,1301.0,N,Y,4.227,0,0,2,2.0,N,N,Y,37.62863,-84.77482,5.0,2.0,6.0,1.0,1.0,2.0,2.0,N,1302,1307,N,2019.0,O,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0
72400731,C,Motor Vehicle,DAC,ANGLE,20190830,1713.0,N,N,3.516,7,0,2,2.0,N,N,Y,37.6185,-84.77459,1.0,5.0,6.0,1.0,1.0,2.0,2.0,Y,1713,1716,N,2019.0,C,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0
72400908,B,Motor Vehicle,DAC,,20190830,1632.0,N,Y,5.78,2,0,3,3.0,N,N,Y,37.64623,-84.77871,5.0,2.0,6.0,1.0,1.0,2.0,2.0,Y,1636,1636,N,2019.0,B,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0
72401280,O,Motor Vehicle,DAC,,20190831,1753.0,N,N,0.13,0,0,2,2.0,N,N,Y,37.64146,-84.77684,2.0,2.0,6.0,1.0,1.0,2.0,2.0,N,1753,1757,N,2019.0,O,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0
